,fileNameAsDelivered,scientificName,MCQ_Prompt
0,JFBM-FISH-0028839.jpg,Cottus bairdii,"What is scientific name of Fish in the image?

Options: A)Cottus bairdii, B)Esox niger, C)Phenacobius mirabilis, D)Morone mississippiensis.

Write the answer after writing ""The answer is:"""
1,UWZM-F-0004319.JPG,Cottus bairdii,"What is scientific name of Fish in the image?

Options: A)Esox niger, B)Morone americana, C)Cyprinus carpio, D)Cottus bairdii.

Write the answer after writing ""The answer is:"""
2,JFBM-FISH-0046588.jpg,Cottus perplexus,"What is scientific name of Fish in the image?

Options: A)Morone chrysops, B)Esox niger, C)Cottus perplexus, D)Cyprinus carpio.

Write the answer after writing ""The answer is:"""
3,JFBM-FISH-0030139.jpg,Cottus bairdii,"What is scientific name of Fish in the image?

Options: A)Cottus bairdii, B)Esox americanus, C)Lepomis auritus, D)Cyprinella lutrensis.

Write the answer after writing ""The answer is:"""
4,JFBM-FISH-0027155.jpg,Cottus bairdii,"What is scientific name of Fish in the image?

Options: A)Notropis heterolepis, B)Cottus bairdii, C)Cyprinus carpio, D)Noturus hildebrandi.

Write the answer after writing ""The answer is:"""
5,JFBM-FISH-0022479.jpg,Cottus bairdii,"What is scientific name of Fish in the image?

Options: A)Morone mississippiensis, B)Notropis procne, C)Lepomis gulosus, D)Cottus bairdii.

Write the answer after writing ""The answer is:"""
6,JFBM-FISH-0024657.jpg,Cottus bairdii,"What is scientific name of Fish in the image?

Options: A)Esox lucius, B)Cottus bairdii, C)Notropis volucellus, D)Lepomis humilis.

Write the answer after writing ""The answer is:"""
7,JFBM-FISH-0026191.jpg,Cottus bairdii,"What is scientific name of Fish in the image?

Options: A)Noturus nocturnus, B)Cottus bairdii, C)Gambusia affinis, D)Notropis heterodon.

Write the answer after writing ""The answer is:"""
8,JFBM-FISH-0029560.jpg,Cottus bairdii,"What is scientific name of Fish in the image?

Options: A)Morone mississippiensis, B)Cottus bairdii, C)Cyprinus carpio, D)Noturus taylori.

Write the answer after writing ""The answer is:"""
9,JFBM-FISH-0022843.jpg,Cottus bairdii,"What is scientific name of Fish in the image?

Options: A)Phenacobius uranops, B)Cottus bairdii, C)Noturus taylori, D)Cyprinella spiloptera.

Write the answer after writing ""The answer is:"""
10,UWZM-F-0004400.JPG,Cottus bairdii,"What is scientific name of Fish in the image?

Options: A)Phenacobius crassilabrum, B)Cyprinus carpio, C)Lepomis gulosus, D)Cottus bairdii.

Write the answer after writing ""The answer is:"""
